"sum","crop_year","crop_state","crop"
"76.3869785757216046",2003,"Tamil Nadu","Rice"
"30.0930075281977720",2004,"Jharkhand","Maize"
"10.8151794306908821",2015,"Telangana","Urad"
"42.1341555510301050",2012,"Punjab","Maize"
"11.7702234220776557",2015,"Uttarakhand","Urad"
"440.0723782120687505",2014,"Tamil Nadu","Maize"
"19.7949617191443097",2001,"Uttarakhand","Maize"
"33.7186981239830735",2015,"Arunachal Pradesh","Maize"
"139.2225668867277027",2013,"Tamil Nadu","Rice"
"4.5610351030803749",2007,"Himachal Pradesh","Urad"
"17.7362058344465197",2002,"Arunachal Pradesh","Rice"
"32.1381310374203590",2016,"Arunachal Pradesh","Rice"
"10.7634209557993798",2005,"Tamil Nadu","Moong(Green Gram)"
"6.4726994806857724",2000,"Chhattisgarh","Moong(Green Gram)"
"33.1359301507363357",2016,"Tamil Nadu","Urad"
"3.0681818181818181",2015,"Punjab","Urad"
"129.5852896146369170",2009,"Tamil Nadu","Maize"
"93.5792533381004038",2017,"Punjab","Rice"
"296.0335722870074322",2006,"Bihar","Maize"
"0.6666666666666666",2011,"Uttarakhand","Moong(Green Gram)"
"7.4430232049109717",2005,"Chhattisgarh","Urad"
"13.9558352739258190",2000,"Tamil Nadu","Urad"
"58.8938639062931103",2013,"Chhattisgarh","Maize"
"61.0236761459823814",2017,"Chhattisgarh","Maize"
"23.3383825756201215",2008,"Arunachal Pradesh","Maize"
"13.7909150070514985",1997,"Arunachal Pradesh","Rice"
"49.6103095564367333",2012,"Jharkhand","Rice"
"14.8753991060624361",2012,"Chhattisgarh","Urad"
"418.8427428793967272",2017,"Tamil Nadu","Maize"
"11.3020626985002071",2005,"Tamil Nadu","Urad"
"27.2300169031318032",2016,"Uttarakhand","Maize"
"49.7980591095339396",2012,"Chhattisgarh","Maize"
"3.5007002801120447",2001,"Himachal Pradesh","Moong(Green Gram)"
"51.8235075933206585",2012,"Chhattisgarh","Rice"
"90.7492631002082386",2005,"Kerala","Rice"
"18.0298985122622412",2003,"Arunachal Pradesh","Rice"
"13.0302314685356173",2013,"Chhattisgarh","Moong(Green Gram)"
"256.3969948033396506",2000,"Bihar","Maize"
"55.5179836221640465",2011,"Jharkhand","Rice"
"34.3439741260192527",2017,"Arunachal Pradesh","Urad"
"1.4444444444444444",2012,"Uttarakhand","Moong(Green Gram)"
"31.1005686787227924",2010,"Himachal Pradesh","Maize"
"1.4983660130718954",1998,"Himachal Pradesh","Moong(Green Gram)"
"25.1083018046749300",2007,"Chhattisgarh","Rice"
"19.7264654769744064",1999,"Arunachal Pradesh","Maize"
"41.1927291186037226",2014,"Jharkhand","Maize"
"33.7389111339528507",2009,"Bihar","Urad"
"54.8543785306666665",2014,"Punjab","Maize"
"24.9607982007120580",2009,"Himachal Pradesh","Maize"
"12.0498991430170968",2001,"Chhattisgarh","Maize"
"22.7497495636907861",2009,"Jharkhand","Maize"
"14.0410673910756895",2017,"Uttarakhand","Urad"
"2.8374179118682780",2012,"Himachal Pradesh","Moong(Green Gram)"
"41.0688737990530714",2014,"Tamil Nadu","Moong(Green Gram)"
"33.0572449223625783",2003,"Jharkhand","Rice"
"10.0741436925647452",2005,"Punjab","Moong(Green Gram)"
"97.9960955968902069",1999,"Tamil Nadu","Rice"
"183.6853948399768811",2014,"Bihar","Rice"
"17.1786618137302104",2010,"Himachal Pradesh","Rice"
"80.7747878697299856",2002,"Tamil Nadu","Rice"
"18.0186245269138770",2015,"Chhattisgarh","Moong(Green Gram)"
"2.2371954480901527",2001,"Uttarakhand","Moong(Green Gram)"
"17.2187193282939892",2013,"Himachal Pradesh","Rice"
"103.9800838923303926",2006,"Tamil Nadu","Rice"
"47.6243550433973470",2013,"Tamil Nadu","Urad"
"95.1123736130397165",2016,"Tamil Nadu","Rice"
"59.5100234893107003",2000,"Punjab","Rice"
"301.5335253974949884",1998,"Bihar","Maize"
"4.9989106542086041",2014,"Himachal Pradesh","Urad"
"127.3007496848337288",2008,"Bihar","Rice"
"2.5841269841269839",2009,"Himachal Pradesh","Moong(Green Gram)"
"2.2045454545454545",2007,"Uttarakhand","Moong(Green Gram)"
"7.0523848983267276",2000,"Chhattisgarh","Urad"
"187.7314561917038484",2016,"Bihar","Rice"
