,State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
6424,Bihar,BUXAR,Maize,2001,Rabi,11.0,Hectare,16.0,Tonnes,1.4545454545454546
6425,Bihar,BUXAR,Maize,2001,Summer,16.0,Hectare,33.0,Tonnes,2.0625
6426,Bihar,BUXAR,Maize,2002,Autumn,1216.0,Hectare,1897.0,Tonnes,1.560032894736842
6427,Bihar,BUXAR,Maize,2002,Rabi,15.0,Hectare,32.0,Tonnes,2.1333333333333333
6428,Bihar,BUXAR,Maize,2002,Summer,16.0,Hectare,37.0,Tonnes,2.3125
6429,Bihar,BUXAR,Maize,2003,Kharif,1300.0,Hectare,1599.0,Tonnes,1.23
6430,Bihar,BUXAR,Maize,2003,Rabi,12.0,Hectare,31.0,Tonnes,2.5833333333333335
6431,Bihar,BUXAR,Maize,2003,Summer,142.0,Hectare,413.0,Tonnes,2.908450704225352
6432,Bihar,DARBHANGA,Maize,2001,Autumn,876.0,Hectare,1537.0,Tonnes,1.754566210045662
6433,Bihar,DARBHANGA,Maize,2001,Rabi,5572.0,Hectare,8759.0,Tonnes,1.5719669777458722
6434,Bihar,DARBHANGA,Maize,2001,Summer,2497.0,Hectare,3992.0,Tonnes,1.5987184621545856
6435,Bihar,DARBHANGA,Maize,2002,Autumn,1049.0,Hectare,1606.0,Tonnes,1.530981887511916
6436,Bihar,DARBHANGA,Maize,2002,Rabi,7044.0,Hectare,18822.0,Tonnes,2.67206132879046
6437,Bihar,DARBHANGA,Maize,2002,Summer,1835.0,Hectare,4243.0,Tonnes,2.3122615803814712
6438,Bihar,DARBHANGA,Maize,2003,Kharif,727.0,Hectare,854.0,Tonnes,1.1746905089408528
6439,Bihar,DARBHANGA,Maize,2003,Rabi,8048.0,Hectare,16273.0,Tonnes,2.021993041749503
6440,Bihar,DARBHANGA,Maize,2003,Summer,2050.0,Hectare,3928.0,Tonnes,1.9160975609756097
6441,Bihar,GAYA,Maize,2001,Autumn,3244.0,Hectare,3931.0,Tonnes,1.2117755856966708
6442,Bihar,GAYA,Maize,2001,Summer,991.0,Hectare,2289.0,Tonnes,2.30978809283552
6443,Bihar,GAYA,Maize,2002,Autumn,3071.0,Hectare,3775.0,Tonnes,1.2292412894822533
6444,Bihar,GAYA,Maize,2002,Rabi,381.0,Hectare,994.0,Tonnes,2.608923884514436
6445,Bihar,GAYA,Maize,2002,Summer,1702.0,Hectare,5492.0,Tonnes,3.226792009400705
6446,Bihar,GAYA,Maize,2003,Kharif,4855.0,Hectare,8303.0,Tonnes,1.7101956745623068
6447,Bihar,GAYA,Maize,2003,Rabi,238.0,Hectare,721.0,Tonnes,3.0294117647058822
6448,Bihar,GAYA,Maize,2003,Summer,2004.0,Hectare,5572.0,Tonnes,2.780439121756487
6449,Bihar,GOPALGANJ,Maize,2001,Autumn,7234.0,Hectare,12278.0,Tonnes,1.6972629250760298
6450,Bihar,GOPALGANJ,Maize,2001,Rabi,5798.0,Hectare,18948.0,Tonnes,3.2680234563642636
6451,Bihar,GOPALGANJ,Maize,2001,Summer,2018.0,Hectare,4902.0,Tonnes,2.429137760158573
6452,Bihar,GOPALGANJ,Maize,2002,Autumn,8686.0,Hectare,10853.0,Tonnes,1.2494819249366798
6453,Bihar,GOPALGANJ,Maize,2002,Rabi,6349.0,Hectare,7822.0,Tonnes,1.2320050401638054
6454,Bihar,GOPALGANJ,Maize,2002,Summer,2001.0,Hectare,5216.0,Tonnes,2.606696651674163
6455,Bihar,GOPALGANJ,Maize,2003,Kharif,11069.0,Hectare,13453.0,Tonnes,1.2153762760863671
6456,Bihar,GOPALGANJ,Maize,2003,Rabi,6407.0,Hectare,21130.0,Tonnes,3.2979553613235524
6457,Bihar,GOPALGANJ,Maize,2003,Summer,1957.0,Hectare,7595.0,Tonnes,3.880940214614206
6458,Bihar,JAMUI,Maize,2001,Autumn,5382.0,Hectare,9965.0,Tonnes,1.851542177629134
6459,Bihar,JAMUI,Maize,2001,Rabi,171.0,Hectare,646.0,Tonnes,3.7777777777777777
6460,Bihar,JAMUI,Maize,2001,Summer,341.0,Hectare,803.0,Tonnes,2.3548387096774195
6461,Bihar,JAMUI,Maize,2002,Autumn,5949.0,Hectare,6331.0,Tonnes,1.0642124726844848
6462,Bihar,JAMUI,Maize,2002,Rabi,273.0,Hectare,616.0,Tonnes,2.2564102564102564
6463,Bihar,JAMUI,Maize,2002,Summer,311.0,Hectare,613.0,Tonnes,1.9710610932475885
6464,Bihar,JAMUI,Maize,2003,Kharif,6101.0,Hectare,8309.0,Tonnes,1.3619078839534502
6465,Bihar,JAMUI,Maize,2003,Rabi,226.0,Hectare,742.0,Tonnes,3.2831858407079646
6466,Bihar,JAMUI,Maize,2003,Summer,323.0,Hectare,1077.0,Tonnes,3.3343653250773992
6467,Bihar,JEHANABAD,Maize,2001,Autumn,673.0,Hectare,6807.0,Tonnes,10.114413075780089
6468,Bihar,JEHANABAD,Maize,2001,Rabi,178.0,Hectare,591.0,Tonnes,3.3202247191011236
6469,Bihar,JEHANABAD,Maize,2001,Summer,362.0,Hectare,900.0,Tonnes,2.4861878453038675
6470,Bihar,JEHANABAD,Maize,2002,Autumn,705.0,Hectare,813.0,Tonnes,1.153191489361702
6471,Bihar,JEHANABAD,Maize,2002,Rabi,219.0,Hectare,572.0,Tonnes,2.6118721461187215
6472,Bihar,JEHANABAD,Maize,2002,Summer,249.0,Hectare,684.0,Tonnes,2.746987951807229
6473,Bihar,JEHANABAD,Maize,2003,Kharif,354.0,Hectare,605.0,Tonnes,1.7090395480225988
6474,Bihar,JEHANABAD,Maize,2003,Rabi,139.0,Hectare,421.0,Tonnes,3.028776978417266
6475,Bihar,JEHANABAD,Maize,2003,Summer,185.0,Hectare,516.0,Tonnes,2.789189189189189
6476,Bihar,KAIMUR (BHABUA),Maize,2001,Autumn,269.0,Hectare,452.0,Tonnes,1.6802973977695168
6477,Bihar,KAIMUR (BHABUA),Maize,2001,Summer,32.0,Hectare,66.0,Tonnes,2.0625
6478,Bihar,KAIMUR (BHABUA),Maize,2002,Autumn,383.0,Hectare,601.0,Tonnes,1.5691906005221932
6479,Bihar,KAIMUR (BHABUA),Maize,2002,Rabi,1.0,Hectare,2.0,Tonnes,2.0
6480,Bihar,KAIMUR (BHABUA),Maize,2002,Summer,25.0,Hectare,71.0,Tonnes,2.84
6481,Bihar,KAIMUR (BHABUA),Maize,2003,Kharif,332.0,Hectare,408.0,Tonnes,1.2289156626506024
6482,Bihar,KAIMUR (BHABUA),Maize,2003,Rabi,197.0,Hectare,513.0,Tonnes,2.6040609137055837
6483,Bihar,KAIMUR (BHABUA),Maize,2003,Summer,25.0,Hectare,67.0,Tonnes,2.68
6484,Bihar,KATIHAR,Maize,2001,Autumn,7003.0,Hectare,11935.0,Tonnes,1.7042695987433958
6485,Bihar,KATIHAR,Maize,2001,Rabi,8367.0,Hectare,23645.0,Tonnes,2.825983028564599
6486,Bihar,KATIHAR,Maize,2001,Summer,8103.0,Hectare,18777.0,Tonnes,2.3172898926323584
6487,Bihar,KATIHAR,Maize,2002,Autumn,7311.0,Hectare,15676.0,Tonnes,2.1441663247161813
6488,Bihar,KATIHAR,Maize,2002,Rabi,9209.0,Hectare,21896.0,Tonnes,2.377674014550983
6489,Bihar,KATIHAR,Maize,2002,Summer,9050.0,Hectare,15891.0,Tonnes,1.7559116022099448
6490,Bihar,KATIHAR,Maize,2003,Kharif,9700.0,Hectare,23350.0,Tonnes,2.4072164948453607
6491,Bihar,KATIHAR,Maize,2003,Rabi,13331.0,Hectare,31341.0,Tonnes,2.350986422623959
6492,Bihar,KATIHAR,Maize,2003,Summer,10402.0,Hectare,24990.0,Tonnes,2.4024226110363394
6493,Bihar,KHAGARIA,Maize,2001,Autumn,12738.0,Hectare,17981.0,Tonnes,1.4116030774061863
6494,Bihar,KHAGARIA,Maize,2001,Rabi,23532.0,Hectare,105659.0,Tonnes,4.490013598504165
6495,Bihar,KHAGARIA,Maize,2001,Summer,7371.0,Hectare,17664.0,Tonnes,2.3964183964183965
6496,Bihar,KHAGARIA,Maize,2002,Autumn,14099.0,Hectare,11386.0,Tonnes,0.8075750053195262
6497,Bihar,KHAGARIA,Maize,2002,Rabi,25400.0,Hectare,65049.0,Tonnes,2.560984251968504
6498,Bihar,KHAGARIA,Maize,2002,Summer,8948.0,Hectare,21179.0,Tonnes,2.366897630755476
