State,Crop,Year,Yield
Bihar,Maize,1970,1.2057761732851986
Bihar,Maize,1970,2.891025641025641
Bihar,Maize,1970,1.3938066937754146
Bihar,Maize,1970,3.1039629439011835
Bihar,Maize,1970,2.651586228830405
Bihar,Maize,1970,1.717783707424266
Bihar,Maize,1970,6.612228197334581
Bihar,Maize,1970,2.5283341649440443
Bihar,Maize,1970,2.42254074219517
Bihar,Maize,1970,3.6399839098954145
Bihar,Maize,1970,2.9275653923541247
Bihar,Maize,1970,1.701487514303022
Bihar,Maize,1970,2.6190173318492604
Bihar,Maize,1970,1.997094513758332
Bihar,Maize,1970,1.319729286300246
Bihar,Maize,1970,3.090982150410287
Bihar,Maize,1970,2.312779614860922
Bihar,Maize,1970,1.353946637020567
Bihar,Maize,1970,2.581011914750797
Bihar,Maize,1970,1.7268473386625074
Bihar,Maize,1970,1.56962966898677
Bihar,Maize,1970,2.4459876543209877
Bihar,Maize,1970,2.529988465974625
Bihar,Maize,1970,1.8971937828231924
Bihar,Maize,1970,1.7639225181598064
Bihar,Maize,1970,2.6269991401547723
Bihar,Maize,1970,1.2603059805285115
Bihar,Maize,1970,2.222047949809545
Bihar,Maize,1970,4.042043714325491
Bihar,Maize,1970,1.6526442307692308
Bihar,Maize,1970,2.828767123287671
Bihar,Maize,1970,1.2127167630057802
Bihar,Maize,1970,2.5
Bihar,Maize,1970,1.975609756097561
Bihar,Maize,1970,1.6201183431952664
Bihar,Maize,1970,3.2666666666666666
Bihar,Maize,1970,3.670103092783505
Bihar,Maize,1970,1.6153846153846154
Bihar,Maize,1970,3.968674698795181
Bihar,Maize,1970,2.6551724137931036
Bihar,Maize,1970,2.6666666666666665
Bihar,Maize,1970,2.669491525423729
Bihar,Maize,1970,3.129166666666667
Bihar,Maize,1970,1.2338709677419355
Bihar,Maize,1970,4.15008431703204
Bihar,Maize,1970,2.257085020242915
Bihar,Maize,1970,1.0669856459330145
Bihar,Maize,1970,3.969195664575014
Bihar,Maize,1970,2.625825825825826
Bihar,Maize,1970,2.1614906832298137
Bihar,Maize,1970,2.7858809801633604
Bihar,Maize,1970,3.103198551599276
Bihar,Maize,1970,1.6797520661157024
Bihar,Maize,1970,4.0476190476190474
Bihar,Maize,1970,2.24147465437788
Bihar,Maize,1970,1.6354820308043354
Bihar,Maize,1970,2.635948706802869
Bihar,Maize,1970,2.35002895193978
Bihar,Maize,1970,2.149571887263646
Bihar,Maize,1970,2.5109829154648327
Bihar,Maize,1970,2.6681915218054284
Bihar,Maize,1970,1.5872077635641817
Bihar,Maize,1970,2.309886391104665
Bihar,Maize,1970,4.0434641582873825
Bihar,Maize,1970,1.453382084095064
Bihar,Maize,1970,3.0031104199066876
Bihar,Maize,1970,2.2018539236055616
Bihar,Maize,1970,2.40625
Bihar,Maize,1970,2.810928013876843
Bihar,Maize,1970,2.185544430538173
Bihar,Maize,1970,2.9309210526315788
Bihar,Maize,1970,2.6561392201095715
Bihar,Maize,1970,2.5860363636363637
Bihar,Maize,1970,0.9263300619834712
Bihar,Maize,1970,3.4779850746268655
Bihar,Maize,1970,2.552094689300732
Bihar,Maize,1970,1.8628091178426749
Bihar,Maize,1970,2.86806411837238
Bihar,Maize,1970,4.046344485749691
Bihar,Maize,1970,1.1864338404794836
Bihar,Maize,1970,2.9619466343238328
Bihar,Maize,1970,2.3665105386416863
Bihar,Moong(Green Gram),1970,0.6817518248175183
Bihar,Moong(Green Gram),1970,0.2865853658536585
Bihar,Moong(Green Gram),1970,0.6339470655926353
Bihar,Moong(Green Gram),1970,0.4962243797195254
Bihar,Moong(Green Gram),1970,0.6050546963410034
Bihar,Moong(Green Gram),1970,0.55
Bihar,Moong(Green Gram),1970,0.4864864864864865
Bihar,Moong(Green Gram),1970,0.6842105263157895
Bihar,Moong(Green Gram),1970,0.32
Bihar,Moong(Green Gram),1970,1.0
Bihar,Moong(Green Gram),1970,0.6666666666666666
Bihar,Moong(Green Gram),1970,0.5132743362831859
Bihar,Moong(Green Gram),1970,0.3195020746887966
Bihar,Moong(Green Gram),1970,0.608846487424111
Bihar,Moong(Green Gram),1970,0.6298200514138818
Bihar,Moong(Green Gram),1970,0.489749430523918
Bihar,Moong(Green Gram),1970,0.489749430523918
Bihar,Moong(Green Gram),1970,0.9166666666666666
Bihar,Moong(Green Gram),1970,0.5
Bihar,Moong(Green Gram),1970,0.4982817869415807
Bihar,Moong(Green Gram),1970,0.5671641791044776
Bihar,Moong(Green Gram),1970,0.4852173913043478
Bihar,Moong(Green Gram),1970,0.6071428571428571
Bihar,Moong(Green Gram),1970,0.4849215922798552
Bihar,Moong(Green Gram),1970,0.6083743842364532
Bihar,Moong(Green Gram),1970,0.5525846702317291
Bihar,Moong(Green Gram),1970,0.4902439024390244
Bihar,Moong(Green Gram),1970,0.5517241379310345
Bihar,Moong(Green Gram),1970,0.5862068965517241
Bihar,Moong(Green Gram),1970,0.5
Bihar,Moong(Green Gram),1970,0.5428571428571428
Bihar,Moong(Green Gram),1970,0.4736842105263157
Bihar,Moong(Green Gram),1970,0.5480769230769231
Bihar,Moong(Green Gram),1970,0.5833333333333334
Bihar,Moong(Green Gram),1970,0.5729166666666666
Bihar,Moong(Green Gram),1970,0.5257548845470693
Bihar,Moong(Green Gram),1970,0.5530195920016159
Bihar,Moong(Green Gram),1970,0.5142857142857142
Bihar,Moong(Green Gram),1970,0.4310135953694979
Bihar,Moong(Green Gram),1970,0.6690647482014388
Bihar,Moong(Green Gram),1970,0.3826086956521739
Bihar,Moong(Green Gram),1970,0.6086956521739131
Bihar,Moong(Green Gram),1970,0.6057692307692307
Bihar,Moong(Green Gram),1970,0.4902093180283592
Bihar,Moong(Green Gram),1970,0.6
Bihar,Moong(Green Gram),1970,0.0
Bihar,Moong(Green Gram),1970,0.3759666864961332
Bihar,Moong(Green Gram),1970,0.4
Bihar,Moong(Green Gram),1970,0.4402480270574971
Bihar,Moong(Green Gram),1970,1.2367491166077738
Bihar,Moong(Green Gram),1970,0.3608247422680412
Bihar,Moong(Green Gram),1970,0.5
Bihar,Moong(Green Gram),1970,0.581151832460733
Bihar,Moong(Green Gram),1970,0.4852941176470588
Bihar,Moong(Green Gram),1970,0.6875
Bihar,Moong(Green Gram),1970,0.3684210526315789
Bihar,Moong(Green Gram),1970,0.5909090909090909
Bihar,Moong(Green Gram),1970,0.6190476190476191
Bihar,Moong(Green Gram),1970,0.484375
Bihar,Moong(Green Gram),1970,0.6
Bihar,Moong(Green Gram),1970,0.5849056603773585
Bihar,Moong(Green Gram),1970,0.4927536231884058
Bihar,Moong(Green Gram),1970,0.5909090909090909
Bihar,Moong(Green Gram),1970,0.7584097859327217
Bihar,Moong(Green Gram),1970,0.4431486880466472
Bihar,Moong(Green Gram),1970,0.6957631444614599
Bihar,Moong(Green Gram),1970,0.8918918918918919
Bihar,Moong(Green Gram),1970,0.4626865671641791
Bihar,Moong(Green Gram),1970,0.4992592592592592
Bihar,Moong(Green Gram),1970,0.5606060606060606
Bihar,Moong(Green Gram),1970,0.4859259259259259
Bihar,Moong(Green Gram),1970,0.4101694915254237
Bihar,Moong(Green Gram),1970,0.5909090909090909
Bihar,Moong(Green Gram),1970,0.6909565217391305
Bihar,Moong(Green Gram),1970,0.6363636363636364
Bihar,Moong(Green Gram),1970,0.442039618488628
Bihar,Moong(Green Gram),1970,0.5
Bihar,Moong(Green Gram),1970,0.5588235294117647
Bihar,Moong(Green Gram),1970,0.4705882352941176
Bihar,Moong(Green Gram),1970,0.5502742230347349
Bihar,Moong(Green Gram),1970,0.6349892008639308
Bihar,Moong(Green Gram),1970,0.2272727272727272
Bihar,Moong(Green Gram),1970,0.4269963057686843
Bihar,Moong(Green Gram),1970,0.3085106382978723
Bihar,Moong(Green Gram),1970,0.5404814004376368
Bihar,Moong(Green Gram),1970,0.5659516765285996
Bihar,Moong(Green Gram),1970,0.5027624309392266
Bihar,Moong(Green Gram),1970,0.4739573504434799
Bihar,Moong(Green Gram),1970,0.8376623376623377
Bihar,Moong(Green Gram),1970,0.3603603603603603
Bihar,Moong(Green Gram),1970,0.5
Bihar,Moong(Green Gram),1970,0.5257731958762887
Bihar,Moong(Green Gram),1970,0.4867256637168141
Bihar,Moong(Green Gram),1970,0.5679826973129514
Bihar,Moong(Green Gram),1970,0.5110016198704104
Bihar,Moong(Green Gram),1970,0.6103896103896104
Bihar,Moong(Green Gram),1970,0.6376811594202898
Bihar,Moong(Green Gram),1970,0.6091954022988506
Bihar,Moong(Green Gram),1970,0.5616438356164384
Bihar,Moong(Green Gram),1970,0.4933333333333333
Bihar,Moong(Green Gram),1970,0.6694915254237288
Bihar,Moong(Green Gram),1970,0.3616236162361623
Bihar,Moong(Green Gram),1970,0.6086508753861998
Bihar,Moong(Green Gram),1970,0.625
Bihar,Moong(Green Gram),1970,0.4896174863387978
Bihar,Moong(Green Gram),1970,0.6428571428571429
Bihar,Moong(Green Gram),1970,0.5333333333333333
Bihar,Moong(Green Gram),1970,0.548951048951049
Bihar,Moong(Green Gram),1970,0.5294117647058824
Bihar,Moong(Green Gram),1970,0.4981818181818181
Bihar,Moong(Green Gram),1970,0.5555555555555556
Bihar,Moong(Green Gram),1970,0.5238095238095238
Bihar,Moong(Green Gram),1970,0.627906976744186
Bihar,Moong(Green Gram),1970,0.5304878048780488
Bihar,Moong(Green Gram),1970,0.4886363636363636
Bihar,Moong(Green Gram),1970,0.5555555555555556
Bihar,Moong(Green Gram),1970,0.5490753911806543
Bihar,Moong(Green Gram),1970,0.6
Bihar,Moong(Green Gram),1970,0.4992163009404389
Bihar,Moong(Green Gram),1970,0.4723542656992744
Bihar,Moong(Green Gram),1970,0.6763715110683349
Bihar,Moong(Green Gram),1970,0.8709900761597046
Bihar,Moong(Green Gram),1970,0.4401123990165086
Bihar,Moong(Green Gram),1970,0.8710051333002152
Bihar,Moong(Green Gram),1970,0.5476190476190477
