"crop","sum","state","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","annual","latitude","longitude"
"Rice","98.9246789424538279","Tamil Nadu",2001,"21.8","10.9","13","93.8","45","39.9","37.2","18.7","53.8","69.5","52.3","27.6","483.50000000000006","10.90943","78.36653000000003"
"Urad","8.6040645019875036","Telangana",2014,"0.2","2.9","58.3","10.3","73.3","62.3","146","205.2","146.8","29.6","10.8","0.7","746.4","17.84959","79.11516999999998"
"Maize","31.2011351642672307","Chhattisgarh",2010,"7.9","4.9","1","5.9","12.6","102.6","426.8","340.3","302.5","54.3","20.2","27.6","1306.6","21.66374","81.84064000000002"
"Moong(Green Gram)","11.2727132263971595","Tamil Nadu",2004,"2.8","0.7","3","16.2","101.1","21.2","98.6","85.1","208.3","271.1","204.5","25","1037.6","10.90943","78.36653000000003"
"Maize","41.6209419665302011","Punjab",2006,"15","3.7","46.1","1.3","32.1","73","220.3","90.8","120.7","24.6","13.4","6.7","647.7","30.92932","75.50048000000002"
"Urad","28.5005050318685479","Bihar",2013,"5.1","22.6","0.6","32.3","89.5","183.3","182","213.6","143.3","197.1","0.4","0","1069.8","25.64408","85.90651"
"Moong(Green Gram)","14.1113026980177615","Tamil Nadu",1999,"8.3","24.1","3.9","56.9","74.5","46.4","55.3","74.8","73.1","268.9","182.8","53.6","922.6","10.90943","78.36653000000003"
"Maize","28.3416358628786972","Himachal Pradesh",2006,"102.5","38.2","137.3","44.3","68.4","104.8","260.3","274.2","92.8","17.5","26.9","51.2","1218.4","31.81676","77.34931999999998"
"Rice","18.5865746694959635","Arunachal Pradesh",2005,"48.4","167.6","229.5","195.3","179.8","269.3","430.8","400","243.6","139.3","28.6","3.3","2335.5","28.093770000000006","94.59213"
"Urad","11.4038317802666941","Tamil Nadu",2002,"2.9","22.1","3.9","9.2","32.6","23.7","11.8","26.5","32.2","93.7","47.2","12.2","317.99999999999994","10.90943","78.36653000000003"
"Rice","34.7698576406708356","Uttarakhand",2015,"54.5","62.6","127.3","57.3","38","186.6","337","305.3","52.6","16.8","2.4","7.2","1247.6","30.04174","79.08969"
"Moong(Green Gram)","7.7159516115836348","Chhattisgarh",2003,"3.7","17.7","12.1","2.6","0.7","128.7","446.6","519.7","384.1","157.6","5.8","14.9","1694.2","21.66374","81.84064000000002"
"Rice","28.5134425077405695","Uttarakhand",2011,"30.9","65.2","18","30.9","84.2","223.1","433.3","523.7","148.4","3.4","1.2","2.3","1564.6","30.04174","79.08969"
"Rice","29.4063500338465086","Jharkhand",2004,"5.5","2.7","3.1","41","31.1","184.4","200.7","327","211.5","128.1","0.1","1.6","1136.7999999999995","23.45598","85.25573"
"Rice","21.5620432840084757","Chhattisgarh",2008,"6.7","9.7","22.2","11.2","9.5","236.4","280.5","305.1","215.4","10.7","1.2","0","1108.6","21.66374","81.84064000000002"
"Moong(Green Gram)","37.9005928769710400","Bihar",2006,"0.1","0","1.9","19.2","73.2","200","290.7","160.4","285.2","17.6","2.9","1.6","1052.7999999999995","25.64408","85.90651"
"Maize","59.231759120439781","Punjab",2013,"9.3","50.1","11.6","3.4","3.6","120.3","117.9","217.1","24.4","16.2","6.1","6.6","586.6000000000001","30.92932","75.50048000000002"
"Rice","29.0161241922038994","Uttarakhand",2010,"11.4","62.1","3.8","13.8","47","72.7","455.8","335.7","389.7","8","4.5","19.5","1424","30.04174","79.08969"
"Maize","35.2343661758765811","Jharkhand",2013,"1.1","17.9","1.6","22.3","85","181.5","211.1","278.1","173.8","281.1","0","0","1253.5","23.45598","85.25573"
"Rice","86.2921604961269124","Punjab",2015,"17.7","31.3","68.5","29.8","16.7","48.3","130.2","88.6","69.2","9","0.8","0.7","510.8","30.92932","75.50048000000002"
"Rice","131.0079396756416448","Tamil Nadu",2011,"4.3","11.2","8","91.5","33.4","56","45.5","128.9","76","200.4","230.5","41","926.7","10.90943","78.36653000000003"
"Moong(Green Gram)","12.6403547398591390","Chhattisgarh",2014,"2.3","29","21.4","17.3","25","104.9","416.7","327.7","252.7","77.9","2.6","1.1","1278.6","21.66374","81.84064000000002"
"Rice","21.4987631632141514","Chhattisgarh",2001,"0.8","0.3","14.6","17.6","16.6","339.4","630.6","380.3","108.4","86.9","4.6","0","1600.1","21.66374","81.84064000000002"
"Urad","3.1416666666666666","Punjab",2014,"21.8","20.1","30.3","24.5","20.8","20.6","76.3","41.9","105.8","6","0.7","14.1","382.9","30.92932","75.50048000000002"
"Urad","25.3760782972936605","Bihar",2015,"12.8","1.8","27.2","38.7","39.5","122.1","231.5","287","101.7","10.4","0","0","872.7","25.64408","85.90651"
"Maize","18.9063452402795182","Arunachal Pradesh",2001,"53.1","66.6","134.9","229.9","195.6","277.2","302.6","279.9","288.1","173.8","19.3","14.9","2035.9","28.093770000000006","94.59213"
"Urad","0","Kerala",2012,"7.4","11","21","171.1","95.3","430.3","362.6","501.6","241.1","187.5","112.9","9.4","2151.2000000000007","10.35287","76.51204"
"Maize","45.7247666764627209","Tamil Nadu",2004,"2.8","0.7","3","16.2","101.1","21.2","98.6","85.1","208.3","271.1","204.5","25","1037.6","10.90943","78.36653000000003"
"Urad","23.2573997674010083","Bihar",1999,"0.1","0.2","0.4","3.8","83.6","265.1","380.8","347.5","199.6","114.1","6.9","0.6","1402.6999999999994","25.64408","85.90651"
"Rice","19.9429444656079620","Chhattisgarh",2009,"1.2","0","2.3","1.9","11.2","45.3","455","247.1","104.7","43.6","42.5","1.9","956.7","21.66374","81.84064000000002"
"Rice","72.3051710319093879","Jharkhand",2016,"12.6","7.6","17.5","1","72.8","122.9","301","395.6","287.5","45.6","0","0","1264.1","23.45598","85.25573"
"Moong(Green Gram)","19.0301593230644307","Chhattisgarh",2016,"6.1","3.6","24.5","4.4","19.6","164.2","361","357.1","295.6","79.8","0","0","1315.9","21.66374","81.84064000000002"
"Rice","100.8245611578788351","Kerala",2015,"3.1","5.8","50.1","214.1","201.8","563.6","406","252.2","292.9","308.1","223.6","79.4","2600.7","10.35287","76.51204"
"Maize","141.1038913168061061","Tamil Nadu",2008,"11.7","29.1","164.7","31.5","53.7","51.1","73.1","126.5","70.7","242.7","298.5","50.1","1203.4","10.90943","78.36653000000003"
"Rice","17.0406959127760392","Himachal Pradesh",2000,"118.2","119","68.1","25.6","79.9","198","265.1","126.7","50.1","0","10.5","6.9","1068.1","31.81676","77.34931999999998"
"Rice","84.3580234692208565","Punjab",2013,"9.3","50.1","11.6","3.4","3.6","120.3","117.9","217.1","24.4","16.2","6.1","6.6","586.6000000000001","30.92932","75.50048000000002"
"Rice","18.9246853231470221","Himachal Pradesh",2014,"69.6","124.9","125.2","60.6","68.9","51.7","203.6","146.7","84.6","19.3","4.5","49.3","1008.9","31.81676","77.34931999999998"
"Urad","6.9544960989208206","Chhattisgarh",2002,"41.5","4.9","12.2","3.3","32.1","196.3","138.4","352.4","122.3","57.8","13.3","15.9","990.4","21.66374","81.84064000000002"
"Rice","101.1191562755333285","Tamil Nadu",2000,"30.3","74.5","9.4","41.6","54.7","52.2","45.8","136.1","169.8","120.3","148.6","88.9","972.2","10.90943","78.36653000000003"
"Moong(Green Gram)","19.8226838961044671","Arunachal Pradesh",2017,"8.2","86.2","221.8","348.2","257.1","370.8","437.8","456.4","318.6","227.1","9.9","3.4","2745.5","28.093770000000006","94.59213"
"Rice","91.1381321817928794","Kerala",2007,"0.5","5.6","7.3","138.5","192.7","705.9","966.3","489.6","526.7","357.2","87.4","11.9","3489.6000000000013","10.35287","76.51204"
"Moong(Green Gram)","2.2388396549686870","Himachal Pradesh",2008,"129.9","63.2","6.3","44.4","42.9","187.3","194.9","224.7","142.6","33.9","5.3","38.9","1114.3000000000004","31.81676","77.34931999999998"
"Maize","25.9808047777161499","Uttarakhand",2015,"54.5","62.6","127.3","57.3","38","186.6","337","305.3","52.6","16.8","2.4","7.2","1247.6","30.04174","79.08969"
